Month,Price,Open,High,Low,Vol.,Change %
2014-01,36.34952380952381,36.42761904761905,37.89,34.63,932100000.0,0.06809523809523814
2014-02,37.241578947368424,37.23,38.46,35.69,718230000.0,0.07210526315789474
2014-03,38.985238095238095,38.93142857142857,41.5,37.49,778570000.0,0.33285714285714285
2014-04,40.13428571428571,40.21333333333333,41.66,38.9,746150000.0,-0.060476190476190475
2014-05,39.92,39.901428571428575,40.97,38.51,574390000.0,0.06619047619047619
2014-06,41.361428571428576,41.28619047619048,42.29,39.86,555820000.0,0.08952380952380953
2014-07,43.21409090909091,43.24045454545455,45.71,41.05,731670000.0,0.16272727272727272
2014-08,44.260000000000005,44.18238095238095,45.47,42.21,513940000.0,0.24666666666666665
2014-09,46.41238095238095,46.25238095238095,47.57,44.53,860860000.0,0.1004761904761905
2014-10,45.19608695652174,45.18260869565218,46.97,42.1,853270000.0,0.06695652173913043
2014-11,48.40526315789474,48.352105263157895,50.05,46.73,523000000.0,0.09999999999999999
2014-12,47.49318181818182,47.573181818181816,49.06,44.9,626800000.0,-0.1222727272727273
2015-01,45.513,45.638999999999996,47.91,40.35,918960000.0,-0.6595
2015-02,43.07736842105263,42.99684210526316,44.3,40.23,656500000.0,0.43631578947368416
2015-03,42.13045454545455,42.14,44.19,40.54,824330000.0,-0.33454545454545453
2015-04,43.465714285714284,43.07190476190476,49.54,40.12,874520000.0,0.8852380952380953
2015-05,47.5295,47.587,48.91,46.02,633060000.0,-0.1785
2015-06,45.96363636363636,46.10409090909091,47.77,43.94,664880000.0,-0.26636363636363636
2015-07,45.61181818181819,45.48318181818182,47.4,43.32,725450000.0,0.2631818181818182
2015-08,45.50666666666667,45.54142857142857,48.41,39.72,776500000.0,-0.30952380952380953
2015-09,43.56142857142857,43.46857142857143,45.0,41.66,673090000.0,0.09476190476190476
2015-10,48.70090909090909,48.45227272727273,54.37,43.75,857330000.0,0.8172727272727273
2015-11,53.885000000000005,53.775,54.98,52.53,662640000.0,0.1645
2015-12,55.39590909090909,55.42318181818182,56.85,53.68,793050000.0,0.10318181818181818
2016-01,52.40315789473684,52.485263157894735,55.39,49.1,927900000.0,-0.010526315789473705
2016-02,51.37809523809524,51.55952380952381,55.09,48.19,845780000.0,-0.36619047619047623
2016-03,53.38409090909091,53.16045454545454,55.64,50.58,641130000.0,0.38272727272727275
2016-04,54.05428571428572,54.080000000000005,56.77,49.35,699030000.0,-0.46761904761904766
2016-05,50.96952380952381,50.8495238095238,53.0,49.46,530860000.0,0.2985714285714286
2016-06,50.92,50.80045454545454,52.95,48.03,824000000.0,-0.1468181818181818
2016-07,54.102,54.008,57.29,50.39,647610000.0,0.521
2016-08,57.71739130434783,57.665217391304346,58.7,56.14,467070000.0,0.06
2016-09,57.28952380952381,57.24809523809524,58.19,55.61,526860000.0,0.01666666666666665
2016-10,58.397619047619045,58.41952380952381,61.37,56.31,614850000.0,0.1952380952380952
2016-11,59.9252380952381,59.958571428571425,61.41,57.28,613060000.0,0.03428571428571431
2016-12,62.118095238095236,62.103809523809524,64.1,58.8,513580000.0,0.15047619047619049
2017-01,63.19199999999999,63.185500000000005,65.91,61.95,494410000.0,0.20099999999999998
2017-02,64.11368421052632,64.13473684210526,65.24,62.75,440760000.0,-0.05157894736842107
2017-03,64.84130434782608,64.75391304347826,66.19,63.62,489170000.0,0.12826086956521737
2017-04,66.17157894736842,66.23894736842105,69.14,64.85,433190000.0,0.20526315789473684
2017-05,68.91727272727273,68.82818181818182,70.74,67.14,517310000.0,0.09454545454545454
2017-06,70.51818181818182,70.56136363636364,72.89,68.09,629740000.0,-0.05409090909090907
2017-07,72.01050000000001,71.84299999999999,74.42,68.02,469860000.0,0.2695
2017-08,72.81695652173913,72.71565217391304,74.96,71.28,442740000.0,0.1252173913043478
2017-09,74.34450000000001,74.3655,75.97,72.92,376670000.0,-0.016500000000000004
2017-10,77.93954545454545,77.88909090909091,86.2,73.71,449970000.0,0.5131818181818182
2017-11,83.71761904761904,83.6452380952381,85.06,82.24,421920000.0,0.05952380952380952
2017-12,84.7585,84.836,87.5,80.7,466180000.0,0.0885
2018-01,90.07523809523809,89.96619047619048,95.45,85.5,574250000.0,0.5071428571428571
2018-02,91.3678947368421,91.39157894736843,96.07,83.83,725670000.0,-0.04157894736842101
2018-03,92.89904761904762,93.23047619047618,97.24,87.08,750770000.0,-0.10142857142857142
2018-04,93.2147619047619,93.53095238095237,97.9,87.51,668240000.0,0.13047619047619044
2018-05,96.98136363636364,96.63227272727272,99.99,92.45,509400000.0,0.2559090909090909
2018-06,100.56190476190477,100.68285714285715,102.69,97.26,602580000.0,-0.005714285714285698
2018-07,104.63857142857142,104.5852380952381,111.15,98.0,569500000.0,0.35666666666666663
2018-08,108.68434782608695,108.45391304347827,112.78,104.84,456610000.0,0.2526086956521739
2018-09,112.23789473684211,112.07736842105263,115.29,107.23,480250000.0,0.10105263157894735
2018-10,109.20739130434782,109.79217391304347,116.18,100.11,927560000.0,-0.26565217391304347
2018-11,107.29809523809524,107.25380952380952,112.24,99.35,720210000.0,0.1995238095238095
2018-12,104.39368421052632,105.02368421052631,113.42,93.96,944270000.0,-0.4247368421052632
2019-01,104.13523809523811,103.95142857142858,107.9,97.2,714200000.0,0.15095238095238095
2019-02,107.9278947368421,107.51052631578948,113.24,102.35,469100000.0,0.3768421052631579
2019-03,115.13380952380952,115.01285714285714,120.82,108.8,589030000.0,0.25
2019-04,122.79476190476191,122.60619047619048,131.37,118.1,433160000.0,0.49000000000000005
2019-05,126.34636363636363,126.19045454545454,130.65,123.04,547220000.0,-0.23772727272727276
2019-06,131.994,132.0395,138.4,119.01,508320000.0,0.41050000000000003
2019-07,138.1027272727273,138.30818181818182,141.68,134.67,484560000.0,0.08136363636363636
2019-08,136.37636363636364,136.50272727272727,140.94,130.78,585610000.0,0.06772727272727272
2019-09,138.1155,138.3585,142.37,134.51,477640000.0,0.047
2019-10,139.2291304347826,139.52521739130435,145.67,133.22,563300000.0,0.14173913043478262
2019-11,148.0955,147.85399999999998,152.5,142.97,393040000.0,0.2735
2019-12,154.1795238095238,153.98142857142858,159.55,146.65,452650000.0,0.19666666666666666
2020-01,163.99904761904762,163.97333333333333,174.05,156.51,559260000.0,0.3728571428571429
2020-02,178.71947368421053,178.56526315789472,190.7,152.0,887880000.0,-0.22684210526315793
2020-03,152.55409090909092,151.98954545454546,175.0,132.52,1612960000.0,0.10772727272727266
2020-04,169.0395238095238,169.20666666666668,180.4,150.36,984810000.0,0.6490476190476191
2020-05,182.3425,182.2715,187.51,173.8,688960000.0,0.11950000000000002
2020-06,192.69954545454547,191.955,204.4,181.35,764990000.0,0.4954545454545455
2020-07,207.08045454545453,207.11863636363634,216.38,197.51,770530000.0,0.04954545454545454
2020-08,214.35333333333332,213.76,231.15,203.14,692500000.0,0.4733333333333334
2020-09,208.80714285714285,209.53285714285713,232.86,196.25,768510000.0,-0.2976190476190476
2020-10,212.89045454545456,213.04818181818183,225.21,199.62,631660000.0,-0.15500000000000005
2020-11,214.13899999999998,214.20999999999998,228.12,200.12,573440000.0,0.2955
